Date,S10TC,S1B,S1C,S2,S3,S4A,S4B,S5,S8,S9,S10,S15,S11TC,S1B_58,S1C_58,S2_58,S3_58,S4A_58,S4B_58,S5_58,S8_58,S9_58,S10_58,S11_58
2018-11-14,11094.0,,,,,,,,,,,,,22946.0,24028.0,8886.0,5710.0,19763.0,9188.0,16911.0,7925.0,11907.0,7836.0,7975.0
2018-11-15,10997.0,,,,,,,,,,,,,23000.0,24011.0,8736.0,5460.0,19875.0,9209.0,16811.0,7844.0,11721.0,7725.0,7869.0
2018-11-16,11006.0,,,,,,,,,,,,,23279.0,24357.0,8643.0,5380.0,20235.0,9228.0,16799.0,7778.0,11668.0,7661.0,7813.0
2018-11-19,10987.0,,,,,,,,,,,,,23693.0,24594.0,8514.0,5230.0,20425.0,9231.0,16775.0,7722.0,11625.0,7619.0,7791.0
2018-11-20,10995.0,,,,,,,,,,,,,24057.0,24717.0,8500.0,5110.0,20663.0,9231.0,16732.0,7681.0,11604.0,7583.0,7756.0
2018-11-21,10981.0,,,,,,,,,,,,,24179.0,24892.0,8436.0,4990.0,20819.0,9241.0,16714.0,7634.0,11596.0,7561.0,7728.0
2018-11-22,10964.0,,,,,,,,,,,,,24268.0,25175.0,8357.0,4890.0,21107.0,9229.0,16658.0,7563.0,11500.0,7511.0,7663.0
2018-11-23,10950.0,,,,,,,,,,,,,24393.0,25436.0,8317.0,4780.0,21211.0,9221.0,16596.0,7518.0,11450.0,7491.0,7629.0
2018-11-26,10906.0,,,,,,,,,,,,,24404.0,25525.0,8279.0,4660.0,21266.0,9194.0,16521.0,7456.0,11400.0,7406.0,7556.0
2018-11-27,10872.0,,,,,,,,,,,,,24429.0,25678.0,8243.0,4620.0,21291.0,9178.0,16443.0,7375.0,11318.0,7328.0,7488.0
2018-11-28,10872.0,,,,,,,,,,,,,24321.0,25831.0,8236.0,4590.0,21472.0,9169.0,16464.0,7334.0,11289.0,7319.0,7447.0
2018-11-29,10908.0,,,,,,,,,,,,,24300.0,26017.0,8293.0,4580.0,21697.0,9166.0,16486.0,7334.0,11271.0,7331.0,7447.0
2018-11-30,10915.0,,,,,,,,,,,,,24268.0,26178.0,8250.0,4520.0,21941.0,9153.0,16446.0,7375.0,11182.0,7364.0,7478.0
2018-12-03,10932.0,,,,,,,,,,,,,24186.0,26317.0,8257.0,4480.0,22094.0,9144.0,16429.0,7416.0,11136.0,7433.0,7538.0
2018-12-04,10985.0,,,,,,,,,,,,,23957.0,26392.0,8271.0,4480.0,22631.0,9122.0,16400.0,7523.0,11093.0,7517.0,7606.0
2018-12-05,10987.0,,,,,,,,,,,,,23779.0,26350.0,8314.0,4495.0,22544.0,9119.0,16379.0,7579.0,11029.0,7583.0,7638.0
2018-12-06,10996.0,,,,,,,,,,,,,23636.0,26322.0,8364.0,4505.0,22413.0,9119.0,16386.0,7638.0,11029.0,7647.0,7669.0
2018-12-07,11018.0,,,,,,,,,,,,,23550.0,26361.0,8371.0,4500.0,22363.0,9106.0,16425.0,7728.0,11082.0,7739.0,7728.0
2018-12-10,11043.0,,,,,,,,,,,,,23457.0,26531.0,8386.0,4495.0,22378.0,9147.0,16436.0,7772.0,11086.0,7802.0,7758.0
2018-12-11,11071.0,,,,,,,,,,,,,23336.0,26656.0,8407.0,4495.0,22416.0,9156.0,16443.0,7853.0,11075.0,7881.0,7839.0
2018-12-12,11134.0,,,,,,,,,,,,,23189.0,26761.0,8500.0,4480.0,22525.0,9100.0,16404.0,8060.0,10996.0,8114.0,7989.0
2018-12-13,11200.0,,,,,,,,,,,,,23107.0,26822.0,8607.0,4470.0,22644.0,9030.0,16414.0,8225.0,11036.0,8278.0,8128.0
2018-12-14,11273.0,,,,,,,,,,,,,23068.0,27078.0,8679.0,4470.0,22696.0,8979.0,16446.0,8400.0,11058.0,8478.0,8375.0
2018-12-17,11311.0,,,,,,,,,,,,,22957.0,27103.0,8750.0,4530.0,22704.0,8914.0,16450.0,8496.0,11063.0,8581.0,8469.0
2018-12-18,11306.0,,,,,,,,,,,,,22864.0,27103.0,8757.0,4550.0,22416.0,8841.0,16464.0,8588.0,11061.0,8672.0,8569.0
2018-12-19,11316.0,,,,,,,,,,,,,22671.0,27094.0,8843.0,4540.0,22231.0,8809.0,16450.0,8703.0,11061.0,8724.0,8645.0
2018-12-20,11300.0,,,,,,,,,,,,,22229.0,27022.0,8911.0,4585.0,22120.0,8788.0,16400.0,8728.0,11025.0,8737.0,8613.0
2018-12-21,11279.0,,,,,,,,,,,,,21904.0,26986.0,8918.0,4575.0,22063.0,8759.0,16393.0,8741.0,11018.0,8764.0,8643.0
2018-12-24,11252.0,,,,,,,,,,,,,21817.0,26886.0,8930.0,4594.0,21964.0,8714.0,16350.0,8716.0,10992.0,8740.0,8606.0
2019-01-02,11141.0,,,,,,,,,,,,,21579.0,26456.0,8908.0,4600.0,21738.0,8675.0,16221.0,8570.0,10879.0,8575.0,8570.0
2019-01-03,11025.0,,,,,,,,,,,,,21243.0,26107.0,8880.0,4625.0,21347.0,8622.0,16043.0,8493.0,10657.0,8494.0,8529.0
2019-01-04,10874.0,,,,,,,,,,,,,20636.0,25894.0,8850.0,4600.0,20744.0,8572.0,15857.0,8416.0,10382.0,8406.0,8520.0
2019-01-07,10705.0,,,,,,,,,,,,,19943.0,25492.0,8850.0,4550.0,20006.0,8456.0,15671.0,8371.0,10143.0,8352.0,8490.0
2019-01-08,10518.0,,,,,,,,,,,,,19346.0,25089.0,8857.0,4540.0,18950.0,8197.0,15443.0,8356.0,9971.0,8300.0,8453.0
2019-01-09,10229.0,,,,,,,,,,,,,18854.0,24397.0,8829.0,4470.0,17250.0,7713.0,15211.0,8347.0,9664.0,8275.0,8416.0
2019-01-10,9955.0,,,,,,,,,,,,,18400.0,23322.0,8786.0,4340.0,15925.0,7359.0,15064.0,8343.0,9411.0,8199.0,8366.0
2019-01-11,9596.0,,,,,,,,,,,,,17921.0,21444.0,8700.0,4270.0,14375.0,7072.0,14850.0,8146.0,9232.0,8048.0,8219.0
2019-01-14,9251.0,,,,,,,,,,,,,17554.0,19750.0,8550.0,4130.0,13275.0,6875.0,14464.0,7936.0,8943.0,7888.0,8029.0
2019-01-15,8908.0,,,,,,,,,,,,,17179.0,19000.0,8393.0,4020.0,12513.0,6656.0,13679.0,7650.0,8371.0,7544.0,7780.0
2019-01-16,8549.0,,,,,,,,,,,,,16629.0,18367.0,8229.0,3900.0,11306.0,6556.0,12850.0,7394.0,7793.0,7289.0,7556.0
2019-01-17,8226.0,,,,,,,,,,,,,16243.0,17333.0,8114.0,3820.0,9963.0,6403.0,12479.0,7163.0,7500.0,7028.0,7306.0
2019-01-18,7880.0,,,,,,,,,,,,,15836.0,16378.0,8050.0,3780.0,9213.0,6213.0,11750.0,6894.0,6400.0,6789.0,7056.0
2019-01-21,7631.0,,,,,,,,,,,,,15557.0,15667.0,7986.0,3690.0,8622.0,6025.0,11311.0,6690.0,5900.0,6583.0,6869.0
2019-01-22,7396.0,,,,,,,,,,,,,15189.0,15197.0,7886.0,3650.0,8209.0,5828.0,10829.0,6488.0,5371.0,6356.0,6685.0
2019-01-23,7122.0,,,,,,,,,,,,,14486.0,14500.0,7807.0,3625.0,7894.0,5584.0,10154.0,6278.0,4743.0,6117.0,6454.0
2019-01-24,6784.0,,,,,,,,,,,,,13671.0,13717.0,7714.0,3565.0,7388.0,4813.0,9664.0,6069.0,4289.0,5867.0,6263.0
2019-01-25,6436.0,,,,,,,,,,,,,13107.0,13022.0,7507.0,3460.0,6788.0,4344.0,9079.0,5769.0,3857.0,5567.0,5994.0
2019-01-28,6176.0,,,,,,,,,,,,,12800.0,12717.0,7314.0,3330.0,6425.0,4094.0,8643.0,5514.0,3421.0,5306.0,5744.0
2019-01-29,5912.0,,,,,,,,,,,,,12543.0,12461.0,7021.0,3130.0,6125.0,3744.0,8343.0,5352.0,2943.0,5139.0,5619.0
2019-01-30,5636.0,,,,,,,,,,,,,12243.0,12150.0,6700.0,2820.0,5934.0,3525.0,8007.0,5156.0,2604.0,4867.0,5375.0
2019-01-31,5379.0,,,,,,,,,,,,,11943.0,11844.0,6386.0,2520.0,5700.0,3278.0,7814.0,4931.0,2482.0,4622.0,5125.0
2019-02-01,5164.0,,,,,,,,,,,,,11618.0,11563.0,6129.0,2320.0,5621.0,2971.0,7675.0,4731.0,2304.0,4461.0,4975.0
