Date,P4TC,P1A,P2A,P3A,P4,P5,P6,P7,P8
2019-10-24,14012.0,15475.0,25793.0,13585.0,6643.0,13989.0,14695.0,,
2019-10-25,13596.0,14625.0,25300.0,13250.0,6572.0,13739.0,14470.0,,
2019-10-28,13206.0,13940.0,24785.0,13005.0,6524.0,,14233.0,,
2019-10-29,12907.0,13460.0,24305.0,12856.0,6473.0,13506.0,14018.0,,
2019-10-30,12634.0,13160.0,23923.0,12570.0,6412.0,13194.0,13845.0,,
2019-10-31,12380.0,12805.0,23609.0,12304.0,6308.0,12922.0,13675.0,,
2019-11-01,12142.0,12411.0,23255.0,12103.0,6270.0,12722.0,13428.0,,
2019-11-04,11858.0,12015.0,22912.0,11881.0,6185.0,12500.0,13180.0,,
2019-11-05,11529.0,11425.0,22361.0,11588.0,6119.0,12156.0,12919.0,,
2019-11-06,11125.0,10700.0,21782.0,11232.0,5957.0,11778.0,12675.0,,
2019-11-07,10764.0,10160.0,21173.0,10852.0,5860.0,11183.0,12345.0,,
2019-11-08,10364.0,9710.0,20586.0,10442.0,5741.0,10600.0,12080.0,,
2019-11-11,10007.0,9450.0,20123.0,10080.0,5372.0,10189.0,11880.0,,
2019-11-12,9696.0,9255.0,19630.0,9717.0,5090.0,9672.0,11625.0,,
2019-11-13,9394.0,9010.0,19159.0,9396.0,4920.0,9333.0,11395.0,,
2019-11-14,9126.0,8720.0,18723.0,9134.0,4772.0,8983.0,11085.0,,
2019-11-15,8972.0,8670.0,18509.0,8968.0,4630.0,8739.0,10920.0,,
2019-11-18,8924.0,8735.0,18461.0,8936.0,4558.0,8606.0,10835.0,,
2019-11-19,8962.0,8785.0,18341.0,9067.0,4622.0,8778.0,10775.0,,
2019-11-20,9051.0,8925.0,18236.0,9237.0,4733.0,8961.0,10555.0,,
2019-11-21,9066.0,8975.0,18127.0,9373.0,4739.0,9194.0,10228.0,,
2019-11-22,9068.0,9035.0,17977.0,9381.0,4711.0,9322.0,10015.0,,
2019-11-25,8988.0,9110.0,17643.0,9447.0,4611.0,9383.0,9880.0,,
2019-11-26,8923.0,9140.0,17377.0,9484.0,4551.0,9417.0,9715.0,,
2019-11-27,9002.0,9440.0,17332.0,9579.0,4521.0,9542.0,9680.0,,
2019-11-28,9360.0,10465.0,17541.0,9854.0,4578.0,9606.0,9825.0,,
2019-11-29,9822.0,11805.0,17909.0,10128.0,4625.0,9694.0,10070.0,,
2019-12-02,10268.0,12840.0,18423.0,10488.0,4732.0,9756.0,10430.0,,
2019-12-03,10532.0,13165.0,18743.0,10768.0,4795.0,9939.0,10600.0,,
2019-12-04,10627.0,13160.0,18868.0,10942.0,4824.0,10117.0,10655.0,,
2019-12-05,10704.0,13185.0,18959.0,11087.0,4892.0,10289.0,10805.0,,
2019-12-06,10794.0,13280.0,19000.0,11228.0,4961.0,10372.0,10960.0,,
2019-12-09,10894.0,13365.0,19114.0,11362.0,5041.0,10394.0,11088.0,,
2019-12-10,11178.0,13735.0,19655.0,11528.0,5128.0,10506.0,11265.0,,
2019-12-11,11559.0,14465.0,20225.0,11697.0,5221.0,10694.0,11530.0,,
2019-12-12,11686.0,14710.0,20427.0,11781.0,5264.0,10844.0,11630.0,,
2019-12-13,11749.0,14845.0,20505.0,11815.0,5286.0,10883.0,11670.0,,
2019-12-16,11731.0,14840.0,20545.0,11693.0,5275.0,10858.0,11715.0,,
2019-12-17,11383.0,14085.0,20314.0,11288.0,5121.0,10667.0,11595.0,,
2019-12-18,10730.0,12860.0,19805.0,10497.0,4951.0,10311.0,11235.0,,
2019-12-19,10129.0,12150.0,19341.0,9498.0,4669.0,9733.0,10830.0,,
2019-12-20,9612.0,11625.0,18977.0,8478.0,4403.0,9167.0,10480.0,,
2019-12-23,9228.0,11320.0,18636.0,7704.0,4226.0,8617.0,10190.0,,
2019-12-24,8923.0,11060.0,18468.0,7216.0,4066.0,8039.0,9965.0,,
2020-01-02,7695.0,10440.0,17818.0,6396.0,3463.0,6281.0,8980.0,,
2020-01-03,7201.0,9740.0,17136.0,5898.0,3176.0,5050.0,8655.0,,
